"","orig.ident","nCount_RNA","nFeature_RNA","Cell_ID","nCount_SCT","nFeature_SCT","SCT_snn_res.0.8","seurat_clusters"
"cell2","FISH",3,2,"Cell 2",21,9,"1","1"
"cell3","FISH",12,7,"Cell 3",23,8,"0","0"
"cell4","FISH",7,5,"Cell 4",21,7,"3","3"
"cell6","FISH",57,7,"Cell 6",26,5,"3","3"
"cell7","FISH",3,3,"Cell 7",23,9,"3","3"
"cell8","FISH",3,3,"Cell 8",23,9,"2","2"
"cell9","FISH",5,3,"Cell 9",23,9,"3","3"
"cell11","FISH",3,2,"Cell 11",23,9,"0","0"
"cell12","FISH",24,7,"Cell 12",24,7,"2","2"
"cell13","FISH",69,8,"Cell 13",25,7,"3","3"
"cell14","FISH",10,5,"Cell 14",22,7,"0","0"
"cell15","FISH",33,8,"Cell 15",24,8,"3","3"
"cell16","FISH",5,4,"Cell 16",23,9,"3","3"
"cell17","FISH",7,4,"Cell 17",21,7,"0","0"
"cell18","FISH",7,5,"Cell 18",24,8,"3","3"
"cell19","FISH",128,9,"Cell 19",23,9,"0","0"
"cell20","FISH",72,8,"Cell 20",25,7,"2","2"
"cell23","FISH",45,7,"Cell 23",25,7,"3","3"
"cell25","FISH",37,8,"Cell 25",25,7,"2","2"
"cell26","FISH",22,6,"Cell 26",23,6,"0","0"
"cell28","FISH",8,4,"Cell 28",23,7,"3","3"
"cell29","FISH",56,8,"Cell 29",25,6,"2","2"
"cell30","FISH",59,8,"Cell 30",25,8,"1","1"
"cell31","FISH",17,5,"Cell 31",23,5,"1","1"
"cell32","FISH",3,2,"Cell 32",21,9,"2","2"
"cell33","FISH",45,7,"Cell 33",26,6,"3","3"
"cell34","FISH",50,6,"Cell 34",25,6,"2","2"
"cell35","FISH",50,8,"Cell 35",25,8,"3","3"
"cell36","FISH",10,5,"Cell 36",23,7,"2","2"
"cell37","FISH",2,2,"Cell 37",25,9,"0","0"
"cell38","FISH",55,7,"Cell 38",27,6,"1","1"
"cell40","FISH",52,8,"Cell 40",24,8,"3","3"
"cell41","FISH",50,8,"Cell 41",25,7,"1","1"
"cell42","FISH",2,2,"Cell 42",23,9,"1","1"
"cell43","FISH",103,8,"Cell 43",25,8,"3","3"
"cell44","FISH",56,8,"Cell 44",27,6,"2","2"
"cell45","FISH",39,6,"Cell 45",25,6,"1","1"
"cell46","FISH",46,7,"Cell 46",25,6,"2","2"
"cell48","FISH",32,7,"Cell 48",23,7,"1","1"
"cell49","FISH",51,8,"Cell 49",24,6,"2","2"
"cell50","FISH",11,6,"Cell 50",23,7,"3","3"
"cell51","FISH",35,7,"Cell 51",24,7,"2","2"
"cell52","FISH",50,6,"Cell 52",26,4,"1","1"
"cell53","FISH",11,8,"Cell 53",23,8,"2","2"
"cell54","FISH",98,8,"Cell 54",27,6,"3","3"
"cell55","FISH",21,8,"Cell 55",23,8,"3","3"
"cell56","FISH",20,5,"Cell 56",24,5,"2","2"
"cell57","FISH",51,7,"Cell 57",25,6,"1","1"
"cell58","FISH",82,7,"Cell 58",26,7,"2","2"
"cell59","FISH",60,8,"Cell 59",25,8,"1","1"
"cell60","FISH",79,9,"Cell 60",25,8,"3","3"
"cell61","FISH",96,9,"Cell 61",25,7,"2","2"
"cell62","FISH",8,6,"Cell 62",26,9,"3","3"
"cell63","FISH",74,8,"Cell 63",25,7,"1","1"
"cell64","FISH",36,7,"Cell 64",24,6,"1","1"
"cell65","FISH",56,7,"Cell 65",26,7,"1","1"
"cell66","FISH",20,5,"Cell 66",24,5,"1","1"
"cell67","FISH",8,4,"Cell 67",22,7,"2","2"
"cell68","FISH",54,7,"Cell 68",25,7,"1","1"
"cell69","FISH",25,6,"Cell 69",25,6,"1","1"
"cell70","FISH",6,5,"Cell 70",24,9,"3","3"
"cell71","FISH",15,6,"Cell 71",24,6,"0","0"
"cell72","FISH",3,3,"Cell 72",21,9,"2","2"
"cell74","FISH",41,7,"Cell 74",27,7,"2","2"
"cell75","FISH",19,6,"Cell 75",25,6,"2","2"
"cell76","FISH",18,4,"Cell 76",23,4,"1","1"
"cell77","FISH",68,8,"Cell 77",25,6,"2","2"
"cell79","FISH",56,8,"Cell 79",25,7,"2","2"
"cell81","FISH",77,8,"Cell 81",26,7,"3","3"
"cell82","FISH",88,8,"Cell 82",23,6,"3","3"
"cell83","FISH",2,2,"Cell 83",24,9,"3","3"
